unit_id,timestamp,latitude,longitude,dist_diff,distance_by_interval,flag,rank,cluster_number,alert_info
1410947,2017-03-26T01:05:00.000Z,17.79924401338176,73.69252735080008,nan.0,135.9802266156879,nan.0,2,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:05:00.000Z,18.81232592413396,73.5171408108633,56.12770948914174,79.85251712654612,1.0,4,"outlier","[ ""unit_id 1410947 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1412130,2017-03-26T01:05:00.000Z,18.49930735710262,73.73250780655655,31.98147875814885,47.87103836839727,1.0,5,"outlier","[ ""unit_id 1410947 is move ahead of your cluster outlier"", ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T01:06:00.000Z,18.81566798977588,73.511422687238,nan.0,80.55985775201243,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:06:00.000Z,18.49972561664635,73.72336453833887,31.72354911277434,48.83630863923809,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:07:00.000Z,18.81841933543206,73.50548741242491,nan.0,81.2554478950364,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:07:00.000Z,18.4988994108079,73.7117357771065,31.18945903418734,50.06598886084905,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:08:00.000Z,18.82085440811818,73.49726431520345,nan.0,82.16229786612399,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:08:00.000Z,18.49891086997349,73.71174265260585,32.09484301121437,50.06745485490963,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:09:00.000Z,18.82660805515678,73.49092739663674,nan.0,83.0864900918401,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:09:00.000Z,18.49704932852473,73.7111272954141,32.80210867086825,50.28438142097185,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:10:00.000Z,18.83092930649767,73.48393558675703,nan.0,83.96532845862156,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:10:00.000Z,18.49168930382386,73.70760589383083,32.97872329903813,50.98660515958343,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:11:00.000Z,18.83572095658567,73.48137560916607,nan.0,84.56237848432828,nan.0,4,"outlier","[ ""You are outside the cluster"" ]"
1412130,2017-03-26T01:11:00.000Z,18.48808768808151,73.70098421499941,32.77079312707008,51.7915853572582,1.0,5,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410665,2017-03-26T01:11:00.000Z,18.59289436240885,73.73615926966917,48.7721515403117,3.019433816946499,1.0,8,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""unit_id 1412130 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T01:12:00.000Z,18.83823108680636,73.48049726412421,nan.0,84.85640059428272,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:12:00.000Z,18.48717095483497,73.69720899289851,32.65385107964247,52.20254951464025,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:13:00.000Z,18.84596774244889,73.47587922039477,nan.0,85.84445839503448,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:13:00.000Z,18.48631094445806,73.69217268962532,33.1022552592103,52.74220313582418,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:14:00.000Z,18.8510361313857,73.46892923646944,nan.0,86.76777426354234,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:14:00.000Z,18.48610926314382,73.68468928154216,33.23607278695235,53.53170147658999,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:15:00.000Z,18.85428423186985,73.4631354823513,nan.0,87.47639859658314,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:15:00.000Z,18.48587606912423,73.67865774973821,33.30809913169841,54.16829946488473,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:16:00.000Z,18.85677774630044,73.45449756333576,nan.0,88.42669614433082,nan.0,4,"outlier","[ ""You are outside the cluster"" ]"
1412130,2017-03-26T01:16:00.000Z,18.48511747236272,73.67259928889511,33.61394106338629,54.81275508094453,1.0,5,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1411607,2017-03-26T01:16:00.000Z,18.51739393109859,73.87103250264994,54.29421568775427,0.5185393931902615,1.0,10,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""unit_id 1412130 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T01:17:00.000Z,18.85599623120777,73.44934093882398,nan.0,88.97622823436606,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:17:00.000Z,18.48340088935857,73.66616439446267,33.45852599440841,55.51770223995765,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:18:00.000Z,18.85599451233293,73.44934896023989,nan.0,88.9770921362071,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:18:00.000Z,18.48200745482383,73.66300281067866,33.09172784480659,55.88536429140051,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:19:00.000Z,18.85599279345809,73.44934896023989,nan.0,88.97728200680304,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:19:00.000Z,18.47728570564587,73.65731906455012,32.29507395871148,56.68220804809155,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:20:00.000Z,18.85599279345809,73.44934896023989,nan.0,88.97728200680304,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:20:00.000Z,18.47144726078196,73.65222775728215,31.45258618804166,57.52469581876137,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:21:00.000Z,18.85599279345809,73.44934896023989,nan.0,88.97728200680304,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:21:00.000Z,18.47032082480528,73.64386772303197,30.56202873280974,58.41525327399329,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:22:00.000Z,18.85599279345809,73.44934896023989,nan.0,88.97728200680304,nan.0,4,"outlier","[ ""You are outside the cluster"" ]"
1412130,2017-03-26T01:22:00.000Z,18.46702917949191,73.63353442046862,29.41237527541637,59.56490673138667,1.0,5,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1412129,2017-03-26T01:22:00.000Z,18.49835395452621,73.85019458299779,58.29604703443165,1.268859696955021,1.0,9,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""unit_id 1412130 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T01:23:00.000Z,18.85599451233293,73.44934896023989,nan.0,88.97747187739897,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:23:00.000Z,18.46296747825146,73.63283770320125,28.95498569185313,60.02248618554584,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:24:00.000Z,18.85599451233293,73.44934896023989,nan.0,88.97747187739897,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:24:00.000Z,18.46297435375081,73.63283598432641,28.9541993958688,60.02327248153017,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:25:00.000Z,18.85599279345809,73.44934896023989,nan.0,88.9776617479949,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
